well_id,month,production_bbl,field,operator,depth_ft
W001,2024-01,4200,Permian,Chevron,8500
W001,2024-02,4150,Permian,Chevron,8520
W001,2024-03,4100,Permian,Chevron,8535
W001,2024-04,4050,Permian,Chevron,8550
W001,2024-05,3980,Permian,Chevron,8560
W001,2024-06,3900,Permian,Chevron,8575
W002,2024-01,3100,Bakken,EOG,7200
W002,2024-02,3050,Bakken,EOG,7215
W002,2024-03,3000,Bakken,EOG,7230
W002,2024-04,2950,Bakken,EOG,7240
W002,2024-05,2900,Bakken,EOG,7255
W002,2024-06,2850,Bakken,EOG,7270
W003,2024-01,5100,Permian,ExxonMobil,9000
W003,2024-02,5050,Permian,ExxonMobil,9015
W003,2024-03,5000,Permian,ExxonMobil,9030
W003,2024-04,4950,Permian,ExxonMobil,9045
W003,2024-05,4900,Permian,ExxonMobil,9060
W003,2024-06,4850,Permian,ExxonMobil,9075
W004,2024-01,2700,EagleFord,ConocoPhillips,7500
W004,2024-02,2680,EagleFord,ConocoPhillips,7510
W004,2024-03,2660,EagleFord,ConocoPhillips,7520
W004,2024-04,2640,EagleFord,ConocoPhillips,7535
W004,2024-05,2620,EagleFord,ConocoPhillips,7550
W004,2024-06,2600,EagleFord,ConocoPhillips,7560
W005,2024-01,3800,Bakken,Whiting,8000
W005,2024-02,3760,Bakken,Whiting,8015
W005,2024-03,3720,Bakken,Whiting,8030
W005,2024-04,3680,Bakken,Whiting,8045
W005,2024-05,3640,Bakken,Whiting,8060
W005,2024-06,3600,Bakken,Whiting,8075
W006,2024-01,4500,Permian,Pioneer,8700
W006,2024-02,4460,Permian,Pioneer,8715
W006,2024-03,4420,Permian,Pioneer,8730
W006,2024-04,4380,Permian,Pioneer,8745
W006,2024-05,4340,Permian,Pioneer,8760
W006,2024-06,4300,Permian,Pioneer,8775
W007,2024-01,2950,Niobrara,Anadarko,7000
W007,2024-02,2920,Niobrara,Anadarko,7015
W007,2024-03,2890,Niobrara,Anadarko,7030
W007,2024-04,2860,Niobrara,Anadarko,7045
W007,2024-05,2830,Niobrara,Anadarko,7060
W007,2024-06,2800,Niobrara,Anadarko,7075
W008,2024-01,5200,Permian,Chevron,8800
W008,2024-02,5150,Permian,Chevron,8815
W008,2024-03,5100,Permian,Chevron,8830
W008,2024-04,5050,Permian,Chevron,8845
W008,2024-05,5000,Permian,Chevron,8860
W008,2024-06,4950,Permian,Chevron,8875
W009,2024-01,3300,Bakken,Continental,7900
W009,2024-02,3270,Bakken,Continental,7915
W009,2024-03,3240,Bakken,Continental,7930
W009,2024-04,3210,Bakken,Continental,7945
W009,2024-05,3180,Bakken,Continental,7960
W009,2024-06,3150,Bakken,Continental,7975
W010,2024-01,4100,EagleFord,Devon,7650
W010,2024-02,4060,EagleFord,Devon,7665
W010,2024-03,4020,EagleFord,Devon,7680
W010,2024-04,3980,EagleFord,Devon,7695
W010,2024-05,3940,EagleFord,Devon,7710
W010,2024-06,3900,EagleFord,Devon,7725

